"Story","Title","Result","Date","Stability","Duration (s)"
"Auth","Login - Login success with data valid","SUCCESS","2023-05-10T20:32:15.052335+07:00[Asia/Jakarta]","0.0","3.77"
"Auth","Login - Login failed username valid but password invalid","SUCCESS","2023-05-10T20:32:18.842837+07:00[Asia/Jakarta]","0.0","0.17"
"Auth","Login - Login failed not registered","SUCCESS","2023-05-10T20:32:19.024279+07:00[Asia/Jakarta]","0.0","0.15"
"Auth","Login - Login failed all empty","SUCCESS","2023-05-10T20:32:19.19105+07:00[Asia/Jakarta]","0.0","0.15"
"Auth","Login - Login failed email empty","SUCCESS","2023-05-10T20:32:19.348848+07:00[Asia/Jakarta]","0.0","0.13"
"Auth","Login - Login failed password empty","SUCCESS","2023-05-10T20:32:19.492178+07:00[Asia/Jakarta]","0.0","0.15"
"Auth","Register - Register Success with data valid","SUCCESS","2023-05-10T20:32:19.647689+07:00[Asia/Jakarta]","0.0","0.19"
"Auth","Register - Register failed with all data empty","SUCCESS","2023-05-10T20:32:19.850937+07:00[Asia/Jakarta]","0.0","0.16"
"Auth","Register - Register failed with email empty","SUCCESS","2023-05-10T20:32:20.027405+07:00[Asia/Jakarta]","0.0","0.14"
"Auth","Register - Register failed with fullname empty","SUCCESS","2023-05-10T20:32:20.172729+07:00[Asia/Jakarta]","0.0","0.11"
"Auth","Register - Register failed with password empty","SUCCESS","2023-05-10T20:32:20.293851+07:00[Asia/Jakarta]","0.0","0.12"
"Auth","Register - Register already exist","SUCCESS","2023-05-10T20:32:20.422377+07:00[Asia/Jakarta]","0.0","0.13"
"Auth","Get Information - Get Information with token valid","SUCCESS","2023-05-10T20:32:20.559592+07:00[Asia/Jakarta]","0.0","0.29"
"Auth","Get Information - Get Information with token empty","SUCCESS","2023-05-10T20:32:20.857013+07:00[Asia/Jakarta]","0.0","0.22"
"Auth","Get Information - Get Information with token invalid","SUCCESS","2023-05-10T20:32:21.090681+07:00[Asia/Jakarta]","0.0","0.22"
